idx,condition,recall@1,ndcg@1,mrr@1,recall@5,ndcg@5,mrr@5,recall@10,ndcg@10,mrr@10,recall@20,ndcg@20,mrr@20
1,dis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
19,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
35,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
45,dis,0,0.0,0.0,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5
46,dis,0,0.0,0.0,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25
46,dis,0,0.0,0.0,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25
48,dis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
50,dis,0,0.0,0.0,1,0.38685280723454163,0.2,1,0.38685280723454163,0.2,1,0.38685280723454163,0.2
50,dis,0,0.0,0.0,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5
53,dis,0,0.0,0.0,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5
58,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
58,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
70,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
70,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
73,dis,0,0.0,0.0,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333
74,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
84,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
86,dis,0,0.0,0.0,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333
91,dis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
92,dis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
93,dis,0,0.0,0.0,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5
93,dis,0,0.0,0.0,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25
94,dis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
95,dis,0,0.0,0.0,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333
96,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
96,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
96,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
109,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
111,dis,0,0.0,0.0,0,0.0,0.0,1,0.3562071871080222,0.16666666666666666,1,0.3562071871080222,0.16666666666666666
112,dis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
115,dis,0,0.0,0.0,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25
126,dis,0,0.0,0.0,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25
136,dis,0,0.0,0.0,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25
139,dis,0,0.0,0.0,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333
140,dis,0,0.0,0.0,1,0.38685280723454163,0.2,1,0.38685280723454163,0.2,1,0.38685280723454163,0.2
149,dis,0,0.0,0.0,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333
151,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
152,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
152,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
155,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
155,dis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
164,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
181,dis,0,0.0,0.0,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5
181,dis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
182,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
182,dis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
189,dis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
193,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
194,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
195,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
206,dis,0,0.0,0.0,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333
210,dis,0,0.0,0.0,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25
216,dis,0,0.0,0.0,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25
216,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
218,dis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
221,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
224,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
255,dis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
271,dis,0,0.0,0.0,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333
285,dis,0,0.0,0.0,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5
292,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
297,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
302,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
316,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
322,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
332,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.23981246656813146,0.058823529411764705
335,dis,0,0.0,0.0,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333
346,dis,0,0.0,0.0,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25
346,dis,0,0.0,0.0,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333
361,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
373,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
377,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
387,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
401,dis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
403,dis,0,0.0,0.0,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25
415,dis,0,0.0,0.0,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333
418,dis,0,0.0,0.0,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25
423,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
424,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
426,dis,0,0.0,0.0,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5
437,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
481,dis,0,0.0,0.0,0,0.0,0.0,1,0.3562071871080222,0.16666666666666666,1,0.3562071871080222,0.16666666666666666
490,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
502,dis,0,0.0,0.0,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5
508,dis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
508,dis,0,0.0,0.0,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333
508,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
509,dis,0,0.0,0.0,1,0.38685280723454163,0.2,1,0.38685280723454163,0.2,1,0.38685280723454163,0.2
534,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
536,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
537,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
539,dis,0,0.0,0.0,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5
544,dis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
545,dis,0,0.0,0.0,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333
572,dis,0,0.0,0.0,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5
576,dis,0,0.0,0.0,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5
578,dis,0,0.0,0.0,0,0.0,0.0,1,0.3562071871080222,0.16666666666666666,1,0.3562071871080222,0.16666666666666666
583,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
583,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
587,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
628,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.26264953503719357,0.07692307692307693
655,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
668,dis,0,0.0,0.0,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333
671,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
696,dis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
704,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
712,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
734,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
738,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
742,dis,0,0.0,0.0,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5
745,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
779,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
784,dis,0,0.0,0.0,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333
789,dis,0,0.0,0.0,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25
830,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
855,dis,0,0.0,0.0,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333
869,dis,0,0.0,0.0,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333
874,dis,0,0.0,0.0,1,0.38685280723454163,0.2,1,0.38685280723454163,0.2,1,0.38685280723454163,0.2
878,dis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
881,dis,0,0.0,0.0,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333
895,dis,0,0.0,0.0,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333
918,dis,0,0.0,0.0,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5
929,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
954,dis,0,0.0,0.0,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25
963,dis,0,0.0,0.0,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5
980,dis,0,0.0,0.0,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25
980,dis,0,0.0,0.0,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333
980,dis,0,0.0,0.0,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5
996,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1014,dis,0,0.0,0.0,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333
1016,dis,0,0.0,0.0,0,0.0,0.0,1,0.3562071871080222,0.16666666666666666,1,0.3562071871080222,0.16666666666666666
1034,dis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
1036,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1038,dis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
1040,dis,0,0.0,0.0,0,0.0,0.0,1,0.3333333333333333,0.14285714285714285,1,0.3333333333333333,0.14285714285714285
1042,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1049,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1050,dis,0,0.0,0.0,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333
1051,dis,0,0.0,0.0,0,0.0,0.0,1,0.3562071871080222,0.16666666666666666,1,0.3562071871080222,0.16666666666666666
1056,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.26264953503719357,0.07692307692307693
1057,dis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
1058,dis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
1060,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1065,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1072,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1083,dis,0,0.0,0.0,0,0.0,0.0,1,0.31546487678572877,0.125,1,0.31546487678572877,0.125
1087,dis,0,0.0,0.0,0,0.0,0.0,1,0.3562071871080222,0.16666666666666666,1,0.3562071871080222,0.16666666666666666
1089,dis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
1090,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1091,dis,0,0.0,0.0,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25
1092,dis,0,0.0,0.0,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25
1093,dis,0,0.0,0.0,1,0.38685280723454163,0.2,1,0.38685280723454163,0.2,1,0.38685280723454163,0.2
1094,dis,0,0.0,0.0,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25
1094,dis,0,0.0,0.0,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333
1121,dis,0,0.0,0.0,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25
1122,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.23137821315975915,0.05263157894736842
1125,dis,0,0.0,0.0,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333
1129,dis,0,0.0,0.0,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333
1129,dis,0,0.0,0.0,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25
1131,dis,0,0.0,0.0,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5
1132,dis,0,0.0,0.0,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25
1142,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1144,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1159,dis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
1162,dis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
1163,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1194,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1196,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1200,dis,0,0.0,0.0,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25
1226,dis,0,0.0,0.0,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333
1233,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1255,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1257,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1263,dis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
1267,dis,0,0.0,0.0,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5
1268,dis,0,0.0,0.0,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333
1283,dis,0,0.0,0.0,1,0.38685280723454163,0.2,1,0.38685280723454163,0.2,1,0.38685280723454163,0.2
1300,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1306,dis,0,0.0,0.0,0,0.0,0.0,1,0.3010299956639812,0.1111111111111111,1,0.3010299956639812,0.1111111111111111
1309,dis,0,0.0,0.0,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25
1325,dis,0,0.0,0.0,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333
1361,dis,0,0.0,0.0,0,0.0,0.0,1,0.3562071871080222,0.16666666666666666,1,0.3562071871080222,0.16666666666666666
1364,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1368,dis,0,0.0,0.0,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333
1421,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1433,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1434,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1463,dis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
1468,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1491,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1509,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1515,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1520,dis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
1541,dis,0,0.0,0.0,1,0.38685280723454163,0.2,1,0.38685280723454163,0.2,1,0.38685280723454163,0.2
1545,dis,0,0.0,0.0,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25
1579,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1584,dis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
1590,dis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
1591,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1591,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1591,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1591,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1592,dis,0,0.0,0.0,0,0.0,0.0,1,0.31546487678572877,0.125,1,0.31546487678572877,0.125
1592,dis,0,0.0,0.0,0,0.0,0.0,1,0.3333333333333333,0.14285714285714285,1,0.3333333333333333,0.14285714285714285
1599,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1601,dis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
1635,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1638,dis,0,0.0,0.0,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5
1638,dis,0,0.0,0.0,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333
1647,dis,0,0.0,0.0,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333
1650,dis,0,0.0,0.0,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25
1653,dis,0,0.0,0.0,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333
1654,dis,0,0.0,0.0,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25
1655,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1656,dis,0,0.0,0.0,0,0.0,0.0,1,0.3010299956639812,0.1111111111111111,1,0.3010299956639812,0.1111111111111111
1657,dis,0,0.0,0.0,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25
1658,dis,0,0.0,0.0,1,0.38685280723454163,0.2,1,0.38685280723454163,0.2,1,0.38685280723454163,0.2
1686,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1686,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1687,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1693,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1747,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1748,dis,0,0.0,0.0,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25
1753,dis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
1754,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1756,dis,0,0.0,0.0,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5
1756,dis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
1759,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1759,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1763,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1764,dis,0,0.0,0.0,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25
1798,dis,0,0.0,0.0,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5
1821,dis,0,0.0,0.0,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25
1821,dis,0,0.0,0.0,1,0.38685280723454163,0.2,1,0.38685280723454163,0.2,1,0.38685280723454163,0.2
1834,dis,0,0.0,0.0,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25
1845,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1848,dis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
1859,dis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
1881,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1887,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.23540891336663824,0.05555555555555555
1902,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1902,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1904,dis,0,0.0,0.0,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333
1924,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
